Date,Ticker,TransactionType,TransactionValue
03/23/2017,TSX:CM,Public Offering,10.08
03/17/2017,TSX:CM,Public Offering,66.82
03/16/2017,TSX:CM,Public Offering,39.98
03/16/2017,TSX:CM,Public Offering,14.77
03/15/2017,TSX:CM,Public Offering,29.05
03/09/2017,TSX:CM,Public Offering,50.00
03/09/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/02/2017,TSX:CM,Public Offering,50.00
03/01/2017,TSX:CM,Public Offering,4.28
02/28/2017,TSX:CM,Public Offering,2.43
02/24/2017,TSX:CM,Public Offering,3.26
02/09/2017,TSX:CM,Public Offering,50.00
02/09/2017,TSX:CM,Public Offering,50.00
02/09/2017,TSX:CM,Public Offering,50.00
02/07/2017,TSX:CM,Public Offering,50.00
02/03/2017,TSX:CM,Public Offering,4.41
02/03/2017,TSX:CM,Public Offering,4.32
02/02/2017,TSX:CM,Public Offering,50.00
02/01/2017,TSX:CM,Public Offering,342.68
01/31/2017,TSX:CM,Public Offering,50.00
01/27/2017,TSX:CM,Public Offering,50.00
01/26/2017,TSX:CM,Public Offering,7.20
01/26/2017,TSX:CM,Public Offering,50.00
01/26/2017,TSX:CM,Public Offering,21.45
01/26/2017,TSX:CM,Public Offering,29.84
01/26/2017,TSX:CM,Public Offering,32.25
01/26/2017,TSX:CM,Public Offering,19.95
01/20/2017,TSX:CM,Public Offering,50.00
01/20/2017,TSX:CM,Public Offering,50.00
01/19/2017,TSX:CM,Public Offering,50.00
01/19/2017,TSX:CM,Public Offering,50.00
01/19/2017,TSX:CM,Public Offering,66.63
01/19/2017,TSX:CM,Public Offering,50.00
01/19/2017,TSX:CM,Public Offering,50.00
01/19/2017,TSX:CM,Public Offering,50.00
01/16/2017,TSX:CM,Public Offering,60.71
01/16/2017,TSX:CM,Public Offering,50.00
01/13/2017,TSX:CM,Public Offering,50.00
01/12/2017,TSX:CM,Public Offering,50.00
01/12/2017,TSX:CM,Public Offering,50.00
01/10/2017,TSX:CM,Public Offering,522.08
01/05/2017,TSX:CM,Public Offering,5.92
01/05/2017,TSX:CM,Public Offering,6.71
01/05/2017,TSX:CM,Public Offering,4.92
12/29/2016,TSX:CM,Public Offering,2.23
12/28/2016,TSX:CM,Public Offering,50.00
12/22/2016,TSX:CM,Public Offering,67.35
12/22/2016,TSX:CM,Public Offering,50.00
12/21/2016,TSX:CM,Public Offering,50.00
12/20/2016,TSX:CM,Public Offering,26.22
12/20/2016,TSX:CM,Public Offering,11.05
12/20/2016,TSX:CM,Public Offering,63.49
12/20/2016,TSX:CM,Public Offering,76.45
12/14/2016,TSX:CM,Public Offering,393.20
12/07/2016,TSX:CM,Public Offering,5.98
11/28/2016,TSX:CM,Public Offering,3.17
11/25/2016,TSX:CM,Public Offering,50.00
11/24/2016,TSX:CM,Public Offering,50.00
11/24/2016,TSX:CM,Public Offering,50.00
11/22/2016,TSX:CM,Public Offering,0.97
11/18/2016,TSX:CM,Public Offering,50.00
11/17/2016,TSX:CM,Public Offering,50.00
11/17/2016,TSX:CM,Public Offering,50.00
11/17/2016,TSX:CM,Public Offering,50.00
11/16/2016,TSX:CM,Public Offering,50.00
11/14/2016,TSX:CM,Public Offering,50.00
11/10/2016,TSX:CM,Public Offering,67.42
11/10/2016,TSX:CM,Public Offering,50.00
11/10/2016,TSX:CM,Public Offering,50.00
11/10/2016,TSX:CM,Public Offering,50.00
11/10/2016,TSX:CM,Public Offering,85.00
11/10/2016,TSX:CM,Public Offering,67.42
11/04/2016,TSX:CM,Public Offering,10.05
11/03/2016,TSX:CM,Public Offering,50.00
11/03/2016,TSX:CM,Public Offering,50.00
11/03/2016,TSX:CM,Public Offering,50.00
11/03/2016,TSX:CM,Public Offering,50.00
11/01/2016,TSX:CM,Public Offering,50.00
11/01/2016,TSX:CM,Public Offering,50.00
10/31/2016,TSX:CM,Public Offering,1.93
10/27/2016,TSX:CM,Public Offering,11.50
10/27/2016,TSX:CM,Public Offering,66.04
10/27/2016,TSX:CM,Public Offering,56.46
10/27/2016,TSX:CM,Public Offering,19.82
10/27/2016,TSX:CM,Public Offering,36.55
10/27/2016,TSX:CM,Public Offering,28.80
10/27/2016,TSX:CM,Public Offering,175.89
10/26/2016,TSX:CM,Public Offering,71.71
10/26/2016,TSX:CM,Public Offering,2.24
10/26/2016,TSX:CM,Public Offering,5.01
10/25/2016,TSX:CM,Public Offering,121.53
10/20/2016,TSX:CM,Public Offering,50.00
10/20/2016,TSX:CM,Public Offering,50.00
10/14/2016,TSX:CM,Public Offering,50.00
10/14/2016,TSX:CM,Public Offering,50.00
10/14/2016,TSX:CM,Public Offering,50.00
10/13/2016,TSX:CM,Public Offering,25.85
10/13/2016,TSX:CM,Public Offering,11.94
10/06/2016,TSX:CM,Public Offering,39.66
10/06/2016,TSX:CM,Public Offering,50.00
10/06/2016,TSX:CM,Public Offering,50.00
10/06/2016,TSX:CM,Public Offering,50.00
10/06/2016,TSX:CM,Public Offering,50.00
09/30/2016,TSX:CM,Public Offering,1.50
09/29/2016,TSX:CM,Public Offering,6.84
09/29/2016,TSX:CM,Public Offering,19.88
09/29/2016,TSX:CM,Public Offering,25.84
09/29/2016,TSX:CM,Public Offering,21.39
09/29/2016,TSX:CM,Public Offering,30.46
09/27/2016,TSX:CM,Public Offering,1.23
09/22/2016,TSX:CM,Public Offering,65.11
09/16/2016,TSX:CM,Public Offering,198.33
09/15/2016,TSX:CM,Public Offering,11.29
09/15/2016,TSX:CM,Public Offering,50.00
09/15/2016,TSX:CM,Public Offering,50.00
09/09/2016,TSX:CM,Public Offering,50.00
09/07/2016,TSX:CM,Public Offering,50.00
09/07/2016,TSX:CM,Public Offering,50.00
09/07/2016,TSX:CM,Public Offering,50.00
09/07/2016,TSX:CM,Public Offering,50.00
09/07/2016,TSX:CM,Public Offering,50.00
09/06/2016,TSX:CM,Public Offering,0.64
09/06/2016,TSX:CM,Public Offering,4.74
08/31/2016,TSX:CM,Public Offering,50.00
08/31/2016,TSX:CM,Public Offering,2.06
08/29/2016,TSX:CM,Public Offering,651.41
08/29/2016,TSX:CM,Public Offering,1302.58
08/29/2016,TSX:CM,Public Offering,50.00
08/29/2016,TSX:CM,Public Offering,50.00
08/29/2016,TSX:CM,Public Offering,50.00
08/22/2016,TSX:CM,Public Offering,50.00
08/18/2016,TSX:CM,Public Offering,50.00
08/11/2016,TSX:CM,Public Offering,12.00
08/05/2016,TSX:CM,Public Offering,12.00
08/03/2016,TSX:CM,Public Offering,10.00
07/29/2016,TSX:CM,Public Offering,2.18
07/29/2016,TSX:CM,Public Offering,15.00
07/28/2016,TSX:CM,Public Offering,25.00
07/28/2016,TSX:CM,Public Offering,16.38
07/28/2016,TSX:CM,Public Offering,18.02
07/28/2016,TSX:CM,Public Offering,13.45
07/28/2016,TSX:CM,Public Offering,24.08
07/28/2016,TSX:CM,Public Offering,5.29
07/28/2016,TSX:CM,Public Offering,51.23
07/27/2016,TSX:CM,Public Offering,15.00
07/27/2016,TSX:CM,Public Offering,10.00
07/26/2016,TSX:CM,Public Offering,15.00
07/25/2016,TSX:CM,Public Offering,1815.29
07/21/2016,TSX:CM,Public Offering,12.00
07/21/2016,TSX:CM,Public Offering,12.00
07/20/2016,TSX:CM,Public Offering,299.83
07/15/2016,TSX:CM,Public Offering,429.00
07/15/2016,TSX:CM,Public Offering,15.00
07/14/2016,TSX:CM,Public Offering,10.00
07/14/2016,TSX:CM,Public Offering,25.00
07/14/2016,TSX:CM,Public Offering,6.00
07/11/2016,TSX:CM,Public Offering,12.00
07/08/2016,TSX:CM,Public Offering,26.14
07/07/2016,TSX:CM,Public Offering,50.00
07/07/2016,TSX:CM,Public Offering,324.29
07/07/2016,TSX:CM,Public Offering,50.00
07/07/2016,TSX:CM,Public Offering,33.00
07/07/2016,TSX:CM,Public Offering,18.89
07/07/2016,TSX:CM,Public Offering,18.60
06/30/2016,TSX:CM,Public Offering,30.00
06/30/2016,TSX:CM,Public Offering,2.58
06/30/2016,TSX:CM,Public Offering,6.00
06/30/2016,TSX:CM,Public Offering,12.00
06/30/2016,TSX:CM,Public Offering,15.00
06/30/2016,TSX:CM,Public Offering,14.00
06/23/2016,TSX:CM,Public Offering,12.75
06/23/2016,TSX:CM,Public Offering,14.00
06/23/2016,TSX:CM,Public Offering,50.00
06/23/2016,TSX:CM,Public Offering,50.00
06/20/2016,TSX:CM,Public Offering,1.45
06/16/2016,TSX:CM,Public Offering,10.00
06/16/2016,TSX:CM,Public Offering,15.00
06/16/2016,TSX:CM,Public Offering,29.45
06/16/2016,TSX:CM,Public Offering,11.51
06/14/2016,TSX:CM,Public Offering,30.00
06/09/2016,TSX:CM,Public Offering,25.00
06/09/2016,TSX:CM,Public Offering,15.00
06/09/2016,TSX:CM,Public Offering,12.00
06/03/2016,TSX:CM,Public Offering,738.05
06/02/2016,TSX:CM,Public Offering,2.06
05/31/2016,TSX:CM,Public Offering,10.00
05/19/2016,TSX:CM,Public Offering,10.00
05/12/2016,TSX:CM,Public Offering,12.00
05/12/2016,TSX:CM,Public Offering,15.00
05/12/2016,TSX:CM,Public Offering,10.00
05/12/2016,TSX:CM,Public Offering,15.11
05/06/2016,TSX:CM,Public Offering,15.00
05/06/2016,TSX:CM,Public Offering,14.00
05/05/2016,TSX:CM,Public Offering,18.00
05/05/2016,TSX:CM,Public Offering,50.00
05/03/2016,TSX:CM,Public Offering,4.49
04/28/2016,TSX:CM,Public Offering,15.00
04/28/2016,TSX:CM,Public Offering,50.00
04/28/2016,TSX:CM,Public Offering,30.38
04/28/2016,TSX:CM,Public Offering,133.45
04/28/2016,TSX:CM,Public Offering,14.68
04/28/2016,TSX:CM,Public Offering,10.68
04/28/2016,TSX:CM,Public Offering,17.18
04/26/2016,TSX:CM,Public Offering,0.86
04/21/2016,TSX:CM,Public Offering,18.00
04/18/2016,TSX:CM,Public Offering,3.63
04/14/2016,TSX:CM,Public Offering,18.00
04/14/2016,TSX:CM,Public Offering,7.00
04/14/2016,TSX:CM,Public Offering,12.00
04/14/2016,TSX:CM,Public Offering,12.00
04/12/2016,TSX:CM,Public Offering,10.00
03/31/2016,TSX:CM,Public Offering,1.23
03/31/2016,TSX:CM,Public Offering,15.00
03/31/2016,TSX:CM,Public Offering,11.00
03/31/2016,TSX:CM,Public Offering,6.00
03/31/2016,TSX:CM,Public Offering,7.00
03/29/2016,TSX:CM,Public Offering,4.73
03/28/2016,TSX:CM,Public Offering,3.82
03/23/2016,TSX:CM,Public Offering,24.41
03/23/2016,TSX:CM,Public Offering,4.03
03/23/2016,TSX:CM,Public Offering,19.56
03/23/2016,TSX:CM,Public Offering,19.14
03/23/2016,TSX:CM,Public Offering,11.03
03/17/2016,TSX:CM,Public Offering,61.28
03/17/2016,TSX:CM,Public Offering,8.00
03/11/2016,TSX:CM,Public Offering,475.08
03/11/2016,TSX:CM,Public Offering,10.00
03/10/2016,TSX:CM,Public Offering,15.00
03/10/2016,TSX:CM,Public Offering,12.00
02/29/2016,TSX:CM,Public Offering,2.14
02/22/2016,TSX:CM,Public Offering,0.69
02/16/2016,TSX:CM,Public Offering,54.81
02/05/2016,TSX:CM,Public Offering,69.36
02/04/2016,TSX:CM,Public Offering,1.00
02/04/2016,TSX:CM,Public Offering,0.86
02/01/2016,TSX:CM,Public Offering,532.93
01/29/2016,TSX:CM,Public Offering,1.34
01/28/2016,TSX:CM,Public Offering,26.04
01/28/2016,TSX:CM,Public Offering,9.32
01/28/2016,TSX:CM,Public Offering,170.56
01/28/2016,TSX:CM,Public Offering,35.65
01/28/2016,TSX:CM,Public Offering,9.11
01/28/2016,TSX:CM,Public Offering,30.21
01/28/2016,TSX:CM,Public Offering,13.50
01/28/2016,TSX:CM,Public Offering,40.90
01/26/2016,TSX:CM,Public Offering,1000.00
01/26/2016,TSX:CM,Public Offering,1.15
01/18/2016,TSX:CM,Public Offering,158.04
01/14/2016,TSX:CM,Public Offering,212.12
01/14/2016,TSX:CM,Public Offering,19.60
01/14/2016,TSX:CM,Public Offering,57.77
01/14/2016,TSX:CM,Public Offering,14.54
01/04/2016,TSX:CM,Public Offering,7.03
01/04/2016,TSX:CM,Public Offering,19.53
02/08/2019,TSX:CNR,Public Offering,446.32
10/31/2018,TSX:CNR,Public Offering,854.44
07/31/2018,TSX:CNR,Public Offering,348.40
07/31/2018,TSX:CNR,Public Offering,443.25
02/01/2018,TSX:CNR,Public Offering,368.75
02/01/2018,TSX:CNR,Public Offering,730.21
08/01/2017,TSX:CNR,Public Offering,496.73
07/28/2016,TSX:CNR,Public Offering,847.56
02/18/2016,TSX:CNR,Public Offering,683.86
05/23/2017,TSX:CNQ,Public Offering,1345.87
05/23/2017,TSX:CNQ,Public Offering,1679.69
05/23/2017,TSX:CNQ,Public Offering,1010.10
05/23/2017,TSX:CNQ,Public Offering,600.00
05/23/2017,TSX:CNQ,Public Offering,300.00
05/23/2017,TSX:CNQ,Public Offering,899.79
08/09/2016,TSX:CNQ,Public Offering,999.85
05/10/2018,TSX:CP,Buyback,940.03
09/28/2016,TSX:CP,Buyback,1209.63
08/03/2016,TSX:CP,Public Offering,1824.12
07/03/2018,TSX:CTC.A,Private Placement,650.00
03/01/2016,TSX:CTC.A,Buyback,495.45
01/29/2019,TSX:CWB,Public Offering,125.00
09/08/2016,TSX:CWB,Public Offering,250.00
07/07/2016,TSX:CWB,Public Offering,150.06
03/31/2016,TSX:CWB,Public Offering,140.00
05/01/2019,TSX:TRST,Public Offering,268.24
10/18/2018,TSX:TRST,Private Placement,9.23
06/05/2018,TSX:TRST,Public Offering,87.30
11/30/2017,TSX:TRST,Private Placement,20.00
03/08/2017,TSX:TRST,Private Placement,1.37
11/01/2018,TSX:WEED,Private Placement,5078.70
06/15/2018,TSX:WEED,Public Offering,500.00
02/07/2018,TSX:WEED,Public Offering,200.68
11/02/2017,TSX:WEED,Private Placement,244.99
07/27/2017,TSX:WEED,Private Placement,25.00
03/22/2017,TSX:WEED,Private Placement,24.25
12/22/2016,TSX:WEED,Public Offering,60.59
08/24/2016,TSX:WEED,Public Offering,30.00
04/18/2016,TSX:WEED,Public Offering,10.01
10/09/2018,TSX:CWX,Public Offering,60.00
09/26/2017,TSX:CWX,Private Placement,57.52
04/18/2017,TSX:CWX,Public Offering,35.00
09/01/2016,TSX:CWX,Public Offering,60.00
03/30/2016,TSX:CWX,Private Placement,25.01
05/09/2019,TSX:CPX,Public Offering,150.00
05/08/2019,TSX:CPX,Public Offering,130.29
01/23/2019,TSX:CPX,Public Offering,300.00
09/18/2017,TSX:CPX,Public Offering,450.00
07/31/2017,TSX:CPX,Public Offering,150.00
04/24/2017,TSX:CPX,Public Offering,182.53
09/23/2016,TSX:CPX,Public Offering,200.00
09/13/2016,TSX:CPX,Private Placement,160.00
08/30/2018,TSX:CJ,Private Placement,4.00
12/14/2017,TSX:CJ,Private Placement,2.85
06/21/2017,TSX:CJ,Public Offering,170.01
06/15/2016,TSX:CJ,Public Offering,60.78
12/20/2018,TSX:CRDL,Public Offering,15.00
05/24/2018,TSX:CRDL,Private Placement,10.50
09/29/2017,TSX:CRDL,Private Placement,2.25
03/29/2017,TSX:CRDL,Private Placement,0.75
04/16/2019,TSX:CJT,Public Offering,100.00
11/29/2018,TSX:CJT,Private Placement,0.68
11/06/2018,TSX:CJT,Public Offering,75.00
10/11/2016,TSX:CJT,Private Placement,3.32
09/15/2016,TSX:CJT,Public Offering,115.00
10/05/2017,TSX:CMH,Buyback,30.00
04/13/2018,TSX:CCL.B,Public Offering,300.00
07/06/2017,TSX:CCL.B,Public Offering,333.25
09/15/2016,TSX:CCL.B,Public Offering,657.79
04/04/2017,TSX:CVE,Public Offering,938.76
04/04/2017,TSX:CVE,Public Offering,1340.87
04/04/2017,TSX:CVE,Public Offering,1610.50
03/29/2017,TSX:CVE,Public Offering,3000.00
07/20/2016,TSX:CG,Public Offering,170.01
10/20/2017,TSX:CEU,Private Placement,300.00
10/20/2017,TSX:CEU,Public Offering,300.00
06/08/2016,TSX:CEU,Public Offering,80.01
04/27/2018,TSX:CSH.UN,Private Placement,150.00
11/24/2017,TSX:CSH.UN,Public Offering,245.02
06/09/2017,TSX:CSH.UN,Private Placement,200.00
04/10/2017,TSX:CHE.UN,Public Offering,175.00
01/27/2017,TSX:CHE.UN,Public Offering,400.03
09/02/2016,TSX:CHE.UN,Public Offering,143.75
05/09/2019,TSX:CHP.UN,Public Offering,350.05
03/08/2018,TSX:CHP.UN,Private Placement,1300.00
01/10/2018,TSX:CHP.UN,Public Offering,299.95
01/10/2018,TSX:CHP.UN,Public Offering,350.00
03/07/2016,TSX:CHP.UN,Public Offering,250.00
03/07/2016,TSX:CHP.UN,Public Offering,100.00
02/04/2019,TSX:CHR,Private Placement,97.26
03/13/2018,TSX:CHR,Public Offering,100.00
03/31/2017,TSX:CHR,Private Placement,200.00
07/20/2018,TSX:CIX,Public Offering,325.00
09/27/2017,TSX:CIX,Public Offering,250.00
11/25/2016,TSX:CIX,Public Offering,200.00
01/19/2018,TSX:CKI,Buyback,19.44
12/31/2016,TSX:CKI,Buyback,7.23
04/26/2018,TSX:CLR,Public Offering,250.00
04/24/2017,TSX:CLR,Public Offering,337.47
06/21/2016,TSX:CLR,Private Placement,15.01
06/21/2016,TSX:CLR,Public Offering,35.00
05/15/2019,TSX:CUF.UN,Private Placement,200.00
09/23/2016,TSX:CUF.UN,Public Offering,200.01
05/20/2016,TSX:CUF.UN,Public Offering,225.00
03/15/2019,TSX:CNL,Private Placement,100.01
05/18/2017,TSX:CNL,Private Placement,249.82
05/25/2016,TSX:CNL,Public Offering,25.00
08/03/2016,TSX:CMMC,Public Offering,6.50
01/17/2019,TSX:CORV,Public Offering,17.28
05/15/2018,TSX:CORV,Private Placement,24.50
05/15/2018,TSX:CORV,Shelf Registration,5.24
08/08/2017,TSX:CORV,Private Placement,40.00
07/26/2016,TSX:CORV,Public Offering,39.62
05/31/2019,TSX:CJR.B,Public Offering,548.29
02/03/2016,TSX:CJR.B,Public Offering,228.60
02/03/2016,TSX:CJR.B,Private Placement,32.04
12/21/2018,TSX:KOR,Private Placement,2.08
06/07/2018,TSX:KOR,Private Placement,4.50
12/07/2017,TSX:KOR,Private Placement,5.25
07/07/2017,TSX:KOR,Private Placement,4.65
07/18/2016,TSX:KOR,Private Placement,2.60
03/11/2016,TSX:KOR,Private Placement,3.43
06/12/2018,TSX:BCB,Shelf Registration,18.13
06/21/2016,TSX:BCB,Public Offering,256.30
06/16/2016,TSX:BCB,Public Offering,652.96
03/01/2016,TSX:BCB,Public Offering,175.83
09/20/2016,TSX:CPG,Public Offering,650.41
03/14/2017,TSX:CR,Private Placement,300.00
06/07/2016,TSX:KWH.UN,Public Offering,63.05
11/20/2017,TSX:CRR.UN,Private Placement,0.15
02/27/2017,TSX:CRR.UN,Private Placement,75.00
05/31/2016,TSX:CRR.UN,Public Offering,131.60
03/08/2019,TSX:CRON,Private Placement,2376.09
04/06/2018,TSX:CRON,Public Offering,127.74
01/24/2018,TSX:CRON,Public Offering,40.00
11/08/2017,TSX:CRON,Public Offering,15.00
09/25/2017,TSX:CRON,Private Placement,15.00
03/09/2017,TSX:CRON,Public Offering,15.08
09/08/2016,TSX:CRON,Private Placement,15.00
05/27/2016,TSX:CRON,Private Placement,6.00
11/28/2018,TSX:CRT.UN,Public Offering,264.99
02/07/2018,TSX:CRT.UN,Public Offering,199.99
06/16/2017,TSX:CRT.UN,Public Offering,175.00
11/23/2018,TSX:DML,Private Placement,5.00
03/09/2017,TSX:DML,Private Placement,20.00
05/20/2016,TSX:DML,Private Placement,12.40
02/22/2016,TSX:DGC,Private Placement,10.19
10/01/2017,TSX:DHX,Public Offering,140.00
05/31/2017,TSX:DHX,Private Placement,140.00
05/10/2016,TSX:DHX,Public Offering,48.75
04/27/2016,TSX:DHX,Public Offering,65.00
11/07/2017,TSX:DIV,Public Offering,50.00
06/26/2018,TSX:DRG.UN,Public Offering,175.20
07/27/2017,TSX:DRG.UN,Public Offering,300.04
03/21/2017,TSX:DRG.UN,Public Offering,100.03
08/05/2016,TSX:DRG.UN,Public Offering,85.05
04/25/2019,TSX:DIR.UN,Public Offering,125.32
02/13/2019,TSX:DIR.UN,Public Offering,125.40
06/29/2018,TSX:DIR.UN,Public Offering,125.24
11/21/2017,TSX:DIR.UN,Public Offering,75.25
11/21/2017,TSX:DIR.UN,Private Placement,26.01
05/03/2018,TSX:D.UN,Buyback,240.00
03/31/2018,TSX:D.UN,Merger/Acquisition,15.80
02/13/2018,TSX:D.UN,Buyback,157.30
08/03/2017,TSX:D.UN,Buyback,440.00
06/07/2017,TSX:D.UN,Buyback,206.52
08/15/2017,TSX:DRM,Merger/Acquisition,6.09
06/30/2017,TSX:DRM,Buyback,22.21
01/24/2017,TSX:DPM,Private Placement,43.72
07/11/2016,TSX:DPM,Public Offering,47.52
07/11/2016,TSX:DPM,Private Placement,2.52
01/10/2019,TSX:ECN,Buyback,265.00
04/16/2018,TSX:ECN,Buyback,115.00
05/25/2017,TSX:ECN,Public Offering,125.00
12/02/2016,TSX:ECN,Public Offering,100.00
10/03/2016,TSX:ECN,Spin-Off/Split-Off,1335.51
07/19/2016,TSX:ECO,Merger/Acquisition,3.04
05/22/2019,TSX:ELD,Public Offering,402.52
04/05/2019,TSX:EFN,Public Offering,150.00
10/11/2018,TSX:EFN,Public Offering,300.30
05/31/2018,TSX:EMA,Public Offering,300.00
12/28/2017,TSX:EMA,Public Offering,700.01
12/16/2016,TSX:EMA,Public Offering,300.01
06/16/2016,TSX:EMA,Private Placement,500.00
06/09/2016,TSX:EMA,Public Offering,1526.75
05/13/2019,TSX:ENB,Shelf Registration,91.61
04/12/2018,TSX:ENB,Public Offering,750.00
04/05/2018,TSX:ENB,Public Offering,671.75
02/26/2018,TSX:ENB,Public Offering,1078.78
12/11/2017,TSX:ENB,Public Offering,500.00
12/07/2017,TSX:ENB,Private Placement,1500.17
10/13/2017,TSX:ENB,Public Offering,650.00
10/04/2017,TSX:ENB,Public Offering,872.79
09/26/2017,TSX:ENB,Public Offering,1000.00
07/10/2017,TSX:ENB,Public Offering,1288.66
06/27/2017,TSX:ENB,Public Offering,922.56
06/27/2017,TSX:ENB,Public Offering,922.02
06/12/2017,TSX:ENB,Public Offering,672.16
06/08/2017,TSX:ENB,Public Offering,449.81
06/06/2017,TSX:ENB,Public Offering,311.98
06/06/2017,TSX:ENB,Public Offering,469.37
05/24/2017,TSX:ENB,Public Offering,750.00
12/12/2016,TSX:ENB,Public Offering,985.79
11/23/2016,TSX:ENB,Public Offering,750.00
11/21/2016,TSX:ENB,Public Offering,999.42
11/21/2016,TSX:ENB,Public Offering,1001.94
02/24/2016,TSX:ENB,Public Offering,2000.00
09/19/2016,TSX:ECA,Public Offering,1318.61
11/03/2016,TSX:EDR,Public Offering,53.57
04/26/2016,TSX:EDR,Public Offering,20.83
12/15/2017,TSX:EFX,Private Placement,269.50
09/07/2016,TSX:EFX,Public Offering,100.04
05/31/2016,TSX:ERF,Public Offering,200.10
04/12/2018,TSX:ESI,Private Placement,37.00
12/23/2016,TSX:EQB,Private Placement,50.00
10/19/2017,TSX:ERO,Public Offering,110.59
01/18/2017,TSX:ERO,Public Offering,3.61
03/06/2019,TSX:EIF,Public Offering,75.00
06/19/2018,TSX:EIF,Public Offering,70.00
12/13/2017,TSX:EIF,Public Offering,100.00
01/04/2017,TSX:EIF,Public Offering,85.03
05/30/2016,TSX:EIF,Public Offering,60.00
02/15/2019,TSX:XTC,Buyback,10.02
11/03/2016,TSX:EXF,Private Placement,4.35
04/17/2018,TSX:EXE,Public Offering,110.00
06/18/2018,OTCPK:FFXX.F,Public Offering,199.10
02/17/2017,OTCPK:FFXX.F,Public Offering,73.77
02/17/2017,OTCPK:FFXX.F,Private Placement,486.72
02/07/2019,TSX:FFH,Public Offering,112.80
01/17/2019,TSX:FFH,Public Offering,797.48
05/14/2018,TSX:FFH,Public Offering,229.31
04/12/2018,TSX:FFH,Public Offering,756.23
03/22/2018,TSX:FFH,Public Offering,942.01
12/04/2017,TSX:FFH,Public Offering,649.95
12/13/2016,TSX:FFH,Public Offering,448.51
03/22/2016,TSX:FFH,Public Offering,397.72
03/02/2016,TSX:FFH,Public Offering,735.00
01/13/2017,OTCPK:FFXD.F,Private Placement,460.18
01/04/2017,OTCPK:FFXD.F,Public Offering,199.33
05/09/2019,TSX:FSZ,Merger/Acquisition,128.16
12/21/2017,TSX:FSZ,Public Offering,75.01
12/21/2017,TSX:FSZ,Public Offering,75.00
09/30/2017,TSX:FTT,Private Placement,200.00
05/15/2019,TSX:FC,Private Placement,2.80
03/01/2019,TSX:FC,Public Offering,20.06
11/14/2018,TSX:FC,Public Offering,25.00
07/26/2018,TSX:FC,Private Placement,8.96
06/21/2018,TSX:FC,Public Offering,25.00
06/20/2017,TSX:FC,Public Offering,26.50
03/28/2017,TSX:FC,Public Offering,26.75
11/29/2016,TSX:FC,Public Offering,22.50
04/19/2016,TSX:FC,Public Offering,22.06
04/16/2019,TSX:FCR,Buyback,741.60
04/11/2019,TSX:FCR,Public Offering,453.20
07/18/2018,TSX:FCR,Public Offering,200.02
07/10/2017,TSX:FCR,Public Offering,300.00
03/22/2017,TSX:FCR,Public Offering,185.40
09/26/2016,TSX:FCR,Public Offering,153.65
08/17/2016,TSX:FCR,Public Offering,150.06
05/26/2016,TSX:FCR,Public Offering,100.01
04/26/2016,TSX:FCR,Public Offering,150.00
01/25/2018,TSX:FR,Public Offering,184.61
05/12/2016,TSX:FR,Private Placement,57.50
05/16/2019,TSX:FF,Private Placement,7.41
08/08/2016,TSX:FF,Private Placement,27.00
02/20/2018,TSX:FM,Public Offering,1261.53
02/20/2018,TSX:FM,Public Offering,1072.30
03/16/2017,TSX:FM,Public Offering,1465.87
03/16/2017,TSX:FM,Public Offering,1465.87
01/26/2016,TSX:FCU,Private Placement,82.23
06/28/2017,TSX:FTS,Public Offering,2612.60
03/01/2017,TSX:FTS,Public Offering,500.00
12/12/2016,TSX:FTS,Public Offering,499.91
09/30/2016,TSX:FTS,Public Offering,654.59
09/30/2016,TSX:FTS,Public Offering,1968.80
02/09/2017,TSX:FVI,Public Offering,85.44
03/18/2016,TSX:FNV,Shelf Registration,22.61
02/11/2016,TSX:FNV,Public Offering,1117.76
05/25/2016,TSX:FRU,Public Offering,165.00
05/25/2016,TSX:FRU,Private Placement,20.00
06/20/2018,TSX:FEC,Public Offering,460.19
11/02/2016,TSX:FEC,Public Offering,334.90
12/02/2016,TSX:GDI,Public Offering,25.00
06/29/2016,TSX:GXE,Public Offering,17.50
05/22/2019,TSX:MIC,Public Offering,103.38
09/28/2017,TSX:GEI,Public Offering,250.00
03/08/2017,TSX:GEI,Public Offering,350.00
06/02/2016,TSX:GEI,Public Offering,200.08
06/02/2016,TSX:GEI,Public Offering,100.00
07/26/2016,TSX:GIL,Private Placement,300.00
10/10/2018,TSX:GSY,Public Offering,40.40
07/12/2018,TSX:GSY,Public Offering,207.40
10/27/2017,TSX:GSY,Public Offering,418.19
06/02/2017,TSX:GSY,Public Offering,50.00
09/05/2018,TSX:GSV,Private Placement,10.72
07/05/2018,TSX:GSV,Merger/Acquisition,12.78
02/22/2018,TSX:GSV,Public Offering,25.00
02/22/2018,TSX:GSV,Private Placement,10.00
10/28/2016,TSX:GSV,Private Placement,38.16
02/12/2016,TSX:GSV,Private Placement,29.93
10/01/2018,TSX:GSC,Private Placement,160.98
02/22/2017,TSX:GSC,Private Placement,0.55
