Ticker,Name,MarketCapitalization,NumberEmployees
TSX:ONEX,Onex Corporation (TSX:ONEX),8135.8,207000
NasdaqGS:OTEX,Open Text Corporation (NasdaqGS:OTEX),14905.9,13100
TSX:PAAS,Pan American Silver Corp. (TSX:PAAS),3565,4530
TSX:PXT,Parex Resources Inc. (TSX:PXT),3129.7,279
TSX:PKI,Parkland Fuel Corporation (TSX:PKI),6561,3051
TSX:PPL,Pembina Pipeline Corporation (TSX:PPL),25494.4,2162
TSX:POW,Power Corporation of Canada (TSX:POW),12037.4,30000
TSX:PWF,Power Financial Corporation (TSX:PWF),19730.3,28000
TSX:PSK,PrairieSky Royalty Ltd. (TSX:PSK),4470.1,59
TSX:PBH,Premium Brands Holdings Corporation (TSX:PBH),3519.2,9250
TSX:QBR.B,Quebecor Inc. (TSX:QBR.B),8096.2,10039
NYSE:QSR,Restaurant Brands International Inc. (NYSE:QSR),24044.9,6000
TSX:REI.UN,RioCan Real Estate Investment Trust (TSX:REI.UN),8033.4,597
NYSE:RBA,Ritchie Bros. Auctioneers Incorporated (NYSE:RBA),4869.3,2200
TSX:RCI.B,Rogers Communications Inc. (TSX:RCI.B),36062,24500
TSX:RY,Royal Bank of Canada (TSX:RY),149713.5,82197
TSX:SAP,Saputo Inc. (TSX:SAP),15380.8,16800
TSX:SJR.B,Shaw Communications Inc. (TSX:SJR.B),13588.2,10000
NYSE:SHOP,Shopify Inc. (NYSE:SHOP),45501.3,4000
TSX:SRU.UN,SmartCentres Real Estate Investment Trust (TSX:SRU.UN),4775.5,337
TSX:SNC,SNC-Lavalin Group Inc. (TSX:SNC),4392.4,52435
TSX:TOY,Spin Master Corp. (TSX:TOY),3791.3,1881
TSX:STN,Stantec Inc. (TSX:STN),3549,22000
TSX:SJ,Stella-Jones Inc. (TSX:SJ),3240.5,2108
TSX:SLF,Sun Life Financial Inc. (TSX:SLF),32306.2,22318
TSX:SU,Suncor Energy Inc. (TSX:SU),65928.4,12480
TSX:TRP,TC Energy Corporation (TSX:TRP),61337.2,7081
TSX:TECK.B,Teck Resources Limited (TSX:TECK.B),15901.5,10000
TSX:T,TELUS Corporation (TSX:T),29346.7,58000
TSX:TFII,TFI International Inc. (TSX:TFII),3241.5,17636
TSX:BNS,The Bank of Nova Scotia (TSX:BNS),85329.1,99678
TSX:DSG,The Descartes Systems Group Inc (TSX:DSG),4015.2,1356
TSX:TSGI,The Stars Group Inc. (TSX:TSGI),6113.9,4516
TSX:TD,The Toronto-Dominion Bank (TSX:TD),139949.9,87999
TSX:TRI,Thomson Reuters Corporation (TSX:TRI),43979.9,25800
TSX:X,TMX Group Limited (TSX:X),5191.6,1280
TSX:TIH,Toromont Industries Ltd. (TSX:TIH),5103.1,6000
TSX:TOU,Tourmaline Oil Corp. (TSX:TOU),4600.4,237
TSX:RNW,TransAlta Renewables Inc. (TSX:RNW),3727.1,
TSX:VET,Vermilion Energy Inc. (TSX:VET),4419.2,698
NYSE:WCN,"Waste Connections, Inc. (NYSE:WCN)",33303.5,16356
TSX:WFT,West Fraser Timber Co. Ltd. (TSX:WFT),3758.8,7800
TSX:WJA,WestJet Airlines Ltd. (TSX:WJA),3500.6,11905
TSX:WPM,Wheaton Precious Metals Corp. (TSX:WPM),14000.9,39
TSX:WSP,WSP Global Inc. (TSX:WSP),7728.9,49000
TSX:YRI,Yamana Gold Inc. (TSX:YRI),3268.9,5165
TSX:ACB,Aurora Cannabis Inc. (TSX:ACB),8958.5,967
TSX:BTO,B2Gold Corp. (TSX:BTO),4105.6,3168
NasdaqGS:OTEX,Open Text Corporation (NasdaqGS:OTEX),14905.9,13100
TSX:PAAS,Pan American Silver Corp. (TSX:PAAS),3565,4530
TSX:PXT,Parex Resources Inc. (TSX:PXT),3129.7,279
TSX:TSGI,The Stars Group Inc. (TSX:TSGI),6113.9,4516
TSX:TD,The Toronto-Dominion Bank (TSX:TD),139949.9,87999
TSX:EMA,Emera Incorporated (TSX:EMA),12873.1,7523
TSX:EMP.A,Empire Company Limited (TSX:EMP.A),9112.5,123000
TSX:GOOS,Canada Goose Holdings Inc. (TSX:GOOS),6254.2,3932
